,Location.No.,Road.Name,Lat,Long,Survey.Date,District,road_width,crash_count,outcome,car_vol,mtw_vol,m3w_vol,bus_vol,LCV_vol,HCV_vol,cycle_vol,cyr_vol,ecyr_vol,total_vol,origin_segment_for_speed_calculation,destination_segment_for_speed_calculation,speed_00.30,speed_01.30,speed_02.30,speed_03.30,speed_04.30,speed_05.30,speed_06.30,speed_07.30,speed_08.30,speed_09.30,speed_10.30,speed_11.30,speed_12.30,speed_13.30,speed_14.30,speed_15.30,speed_16.30,speed_17.30,speed_18.30,speed_19.30,speed_20.30,speed_21.30,speed_22.30,speed_23.30,average_speed,pop_100m_buffer,length_segment
1,1,Mahatma Gandhi Road ,28.56961,77.20534,05-02-2018,New Delhi ,13,0,0,22686,14857,6856,1290,1060,302,204,50,2,47307,"28.569755534469163, 77.20271790967091","28.56977202375108, 77.20676804527949",42.35294118,48,46.4516129,48,48,48,43.63636364,41.14285714,22.15384615,11.07692308,11.61290323,11.33858268,11.25,11.33858268,10.99236641,10.43478261,9.795918367,10.82706767,15.48387097,21.81818182,18.2278481,12.74336283,32.72727273,36.92307692,26.01368171,1434.380416,2916.9
2,2,Mahatma Gandhi Road ,28.56875,77.21758,05-02-2018,South East ,15,0,0,17913,11789,8337,1009,841,465,128,52,3,40537,"28.568648411102572, 77.21963213417594","28.568838572143736, 77.21551817523535",43.85454545,46.68387097,49.90344828,49.90344828,55.66153846,55.66153846,51.68571429,45.225,41.34857143,38.08421053,35.29756098,32.16,30.15,30.79148936,32.89090909,31.46086957,30.79148936,31.46086957,30.79148936,29.53469388,31.46086957,37.10769231,41.34857143,42.56470588,39.40929569,4269.50797,2137.1
3,3,Sri Aurbindo Marg ,28.57735,77.21057,06-02-2018,New Delhi ,13,0,0,14282,5869,4984,598,292,113,141,1,0,26280,"28.575736464711824, 77.20987566019816","28.579083040862102, 77.21119823559471",45.75483871,44.325,44.325,45.75483871,45.75483871,48.91034483,48.91034483,45.75483871,45.75483871,40.52571429,41.71764706,41.71764706,41.71764706,41.71764706,41.71764706,41.71764706,41.71764706,40.52571429,41.71764706,40.52571429,41.71764706,42.98181818,44.325,45.75483871,43.55593777,564.598086,1235.71
4,4,Bhishma Pitamah Marg ,28.57855,77.22936,06-02-2018,South East ,12,0,0,5943,5224,2532,328,216,55,664,97,2,15061,"28.576764578682848, 77.22938179942946","28.58041878786304, 77.22953155889431",41.86285714,41.86285714,45.7875,43.09411765,41.86285714,44.4,44.4,44.4,43.09411765,44.4,44.4,43.09411765,41.86285714,41.86285714,41.86285714,41.86285714,41.86285714,43.09411765,40.7,39.6,40.7,40.7,43.09411765,45.7875,42.73535189,5094.699368,5146.99
5,5,Jangpura Road ,28.57975,77.252766,07-02-2018,South East ,7,1,1,7294,7118,2756,505,234,86,507,129,5,18634,"28.578250333707363, 77.25389593784487","28.581335876678896, 77.25178623531947",46.68387097,48.24,46.68387097,49.90344828,48.24,49.90344828,46.68387097,42.56470588,42.56470588,38.08421053,38.08421053,39.11351351,39.11351351,40.2,39.11351351,40.2,39.11351351,39.11351351,41.34857143,38.08421053,40.2,41.34857143,42.56470588,46.68387097,42.65974334,1944.030022,3883.26
6,6,Srinagar Kanyakumari Highway ,28.57603,77.2639,07-02-2018,South East ,15,0,0,28196,18923,4323,1024,2143,865,147,100,4,55725,"28.577124676665125, 77.2655656834458","28.575018766493347, 77.26225790776907",16.32272727,19.152,18.65454545,20.52,22.09846154,32.64545455,26.6,22.8,12.38275862,9.975,9.267096774,10.26,11.221875,12.17288136,12.6,14.22178218,12.6,12.49043478,10.9648855,10.11549296,11.77377049,17.73333333,24.34576271,17.1,16.1674276,3217.704864,1355.4
7,7,Prithviraj Road ,28.60229,77.22301,08-02-2018,New Delhi ,8,0,0,3815,1765,1128,120,20,20,153,20,0,7041,"28.60035277980755, 77.22118682865747","28.60319040222915, 77.22367944380612",43.74545455,43.74545455,45.1125,43.74545455,45.1125,46.56774194,41.24571429,41.24571429,37.98947368,37.01538462,37.01538462,37.98947368,37.01538462,37.01538462,37.98947368,37.98947368,37.98947368,36.09,33.57209302,36.09,36.09,39.01621622,41.24571429,41.24571429,39.66163245,344.871218,1447.53
8,8,Lodhi Road ,28.59044,77.222136,08-02-2018,New Delhi ,9,0,0,5438,1664,1343,232,98,38,507,129,5,9454,"28.590173801482376, 77.21944858809195","28.590579911755416, 77.22352502729892",36.09,34.37142857,36.09,37.98947368,40.1,33.57209302,25.77857143,24.46779661,24.46779661,23.66557377,22.91428571,21.87272727,22.55625,22.20923077,22.91428571,24.46779661,21.87272727,22.55625,20.62285714,20.62285714,22.55625,26.73333333,29.46122449,32.80909091,27.11507917,533.994144,2106.24
9,9,Sardar Patel Marg ,28.59757,77.172198,09-02-2018,New Delhi ,10,0,0,9629,5499,1091,474,63,87,102,0,0,16945,"28.596638838697448, 77.17044406831958","28.598491507311543, 77.17397177657901",53.46666667,55.52307692,55.52307692,55.52307692,55.52307692,57.744,55.52307692,51.55714286,26.24727273,16.04,16.98352941,28.30588235,28.30588235,33.57209302,26.24727273,35.2097561,37.01538462,30.075,26.24727273,25.32631579,45.1125,45.1125,51.55714286,53.46666667,40.21698606,651.48017,2736.69
10,10,Vandemataram Marg ,28.6032,77.169274,09-02-2018,New Delhi ,12,0,0,10869,4924,813,196,633,188,48,6,0,17677,"28.60162670695412, 77.16830458370023","28.604841418538715, 77.17017198829903",48.12,48.12,46.56774194,48.12,48.12,48.12,48.12,46.56774194,45.1125,43.74545455,42.45882353,41.24571429,41.24571429,41.24571429,41.24571429,42.45882353,42.45882353,43.74545455,42.45882353,41.24571429,42.45882353,43.74545455,46.56774194,46.56774194,44.57760502,118.45094,2957.81
